tip,id_ploshadki,servisnyy_id,adres_razmeshcheniya,rayon,id_sk1,naimenovanie_sk1,status_oborudovaniya1,tip_sk_po_dogovoru1,id_sk2,naimenovanie_sk2,status_oborudovaniya2,tip_sk_po_dogovoru2,id_sk3,naimenovanie_sk3,status_oborudovaniya3,tip_sk_po_dogovoru3,id_sk4,naimenovanie_sk4,status_oborudovaniya4,tip_sk_po_dogovoru4,id_sk5,naimenovanie_sk5,status_oborudovaniya5,tip_sk_po_dogovoru5,planovaya_data_1_kv_2026,id_sk6,naimenovanie_sk6,status_oborudovaniya6,tip_sk_po_dogovoru6
УД,196622074,EMTS1718,"г. Санкт-Петербург, ул. Швецова, д.39",Кировский,208386707,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,,,,,20260313,,,,
УД,196622086,EMTS407,"г. Санкт-Петербург, ул. Шевченко, д.27",Василеостровский,212676862,Panasonic внутр.CS-C9HKD/внеш.CU-C9HKD,Активирован,1,241183295,Kentatsu внутр.KSGPA26HZRN1 / внеш.KSRPA26HZRN1,Активирован,1,,,,,,,,,,,,,20260211,,,,
УД,196622127,EMTS1047,"г. Санкт-Петербург, ул. Школьная, д.114, корп.1",Приморский,243333674,Kentatsu внутр.KSGA26HFAN1/внеш.KSRA26HFAN1,Активирован,1,,,,,,,,,,,,,,,,,20260210,,,,
УД,196622137,EMTS1048,"г. Санкт-Петербург, ул. Школьная, д.16",Приморский,244203774,Kentatsu внутр.KSGA26HFAN1/внеш.KSRA26HFAN1,Активирован,1,,,,,,,,,,,,,,,,,20260310,,,,
УД,196622199,EMTS950,"г. Санкт-Петербург, пр. Энгельса, д.111, корп.1",Выборгский,209142314,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,209142316,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,20260121,,,,
УД,196622222,EMTS951,"г. Санкт-Петербург, пр. Энгельса, д.53",Выборгский,208385975,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208385977,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260202,,,,
УД,196622236,EMTS952,"г. Санкт-Петербург, пр. Энтузиастов, д.16, корп.2",Красногвардейский,241454232,Kentatsu внутр.KSGPA26HZRN1 / внеш.KSRPA26HZRN1,Активирован,1,,,,,,,,,,,,,,,,,20260119,,,,
УД,196622260,EMTS953,"г. Санкт-Петербург, пр. Юрия Гагарина, д.18, корп.3",Московский,208386819,Mitsubishi Electric внутр.SRK28HG-S/внеш.SRС28HG-S,Активирован,1,,,,,,,,,,,,,,,,,20260129,,,,
УД,196622286,EMTS1720,"г. Санкт-Петербург, ул. Якубовича, д.16",Адмиралтейский,216192508,Mitsubishi Electric внутр.MS-GF25VA/внеш.MU-GF25VA,Активирован,1,,,,,,,,,,,,,,,,,20260128,,,,
УД,196622352,EMTS863,"г. Санкт-Петербург, линия 13-я В.о., д.20",Василеостровский,208385857,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,208385859,Panasonic внутр.CS-C9GKD/внеш.CU-C9GKD,Активирован,1,,,,,,,,,,,,,20260218,,,,
УД,196622409,EMTS1585,"г. Санкт-Петербург, линия 19-я В.о., д.10",Василеостровский,208386039,Daikin внутр.FT50CV1A8/внеш.R50CV1A,Активирован,1,,,,,,,,,,,,,,,,,20260218,,,,
УД,196622485,EMTS865,"г. Санкт-Петербург, линия 6-я В.о., д.21",Василеостровский,208385865,Daikin внутр.FT25DVM/внеш.R25DV1,Активирован,1,,,,,,,,,,,,,,,,,20260211,,,,
УД,196622513,EMTS1586,"г. Санкт-Петербург, линия 8-я В.о., д.69",Василеостровский,208386041,Daikin внутр.FT50CV1A8/внеш.R50CV1A,Активирован,1,,,,,,,,,,,,,,,,,20260211,,,,
УД,196622544,EMTS1725,"г. Сестрорецк, ул. Володарского, д.7/9",Курортный,208386721,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208386723,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260209,,,,
УД,196622571,EMTS1723,"г. Сестрорецк, наб. Реки Сестры, д.8",Курортный,208386717,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,208386719,Daikin внутр.FT25CV1A8/внеш.R25CV1A,Активирован,1,,,,,,,,,,,,,20260209,,,,
